ident,type,name,latitude_deg,longitude_deg,municipality
26CN,heliport,SCE Vincent Substation Heliport,34.486768,-118.115913,Palmdale
27CA,small_airport,Holiday Ranch Airport,34.561100006103516,-117.0810013,Apple Valley
27CL,small_airport,Sopwith Farm Airport,38.747100830078125,-121.572998,Pleasant Grove
27CN,heliport,SCE Pardee Substation Helistop,34.439531,-118.57928,Santa Clarita
28CA,small_airport,Dos Palos Airport,36.964044,-120.62994,Dos Palos
28CN,heliport,San Joaquin Community Hospital Heliport,35.383222,-119.020638,Bakersfield
29CA,heliport,Landells Heliport,33.25590133666992,-116.4540024,Desert Hot Springs
29CL,heliport,Childrens Hospital Los Angeles Heliport,34.097338,-118.291039,Los Angeles
29CN,small_airport,Miller's Mother Lode Airport,38.845032,-120.831075,Georgetown
2CA0,heliport,Ash Mountain Heliport,36.49580001831055,-118.8339996,Three Rivers
2CA2,small_airport,Cones Field,34.16279983520508,-116.0479965,Twentynine Palms
2CA3,small_airport,Crosswinds Airport,34.161001,-115.995648,Twentynine Palms
2CA4,small_airport,Blackinton Airport,33.25889969,-117.0920029,Valley Center
2CA5,heliport,Platform Emmy Heliport,33.66230010986328,-118.0449982,Huntington Beach
2CA6,heliport,K & T 660 Figueroa Partners Heliport,34.049393,-118.259336,Los Angeles
2CA7,heliport,Prudential Helistop,34.17559814453125,-118.5950012,Woodland Hills
2CA8,small_airport,B & E Ranch Airport,34.42060089111328,-116.6110001,Yucca Valley
2CL0,heliport,Commerce Business Park Heliport,33.987549,-118.161483,City of Commerce
2CL3,small_airport,Longbell Ranch Airport,41.642101,-121.889999,Macdoel
2CL4,heliport,American Display Heliport,40.522098541259766,-122.3040009,Redding
2CL5,heliport,Kovr Heliport,38.59159851074219,-121.5449982,West Sacramento
2CL6,heliport,St John's Regional Medical Center Heliport,34.216615,-119.15733,Oxnard
2CL7,heliport,Glendale Plaza Emergency Heliport,34.155692,-118.258515,Glendale
2CL8,heliport,Inland Valley Medical Center Heliport,33.592553,-117.237204,Wildomar
2CL9,small_airport,Mustang Airport,38.33440017700195,-121.3040009,Galt
2CN2,heliport,Department of Water and Power Granada Hills Heliport,34.292348,-118.474713,Los Angeles
2CN3,small_airport,Tenaja Valley Airport,33.511111,-117.328611,Murrieta
2CN4,small_airport,Wonderful Pistachios & Almonds Airport,35.664623,-119.893518,Lost Hills
2CN5,heliport,Regional Medical Center Of San Jose H1 Heliport,37.3625,-121.850278,San Jose
2CN6,heliport,Department of Water & Power Los Angeles Heliport,34.058055,-118.24954,Los Angeles
2CN7,heliport,Qualcomm Building N Heliport,32.896236,-117.196029,San Diego
2CN8,small_airport,Lake Arrowhead Airport,34.304167,-117.151389,Lake Arrowhead
30CA,heliport,Indian Valley Hospital Heliport,40.141201,-120.937226,Greenville
30CL,heliport,Long Beach Memorial Medical Center Heliport,33.808741,-118.186728,Long Beach
30CN,heliport,Air Methods Barstow Heliport,34.894777,-117.024867,Barstow
31CA,heliport,Baldwin Base Heliport,33.69390106201172,-117.8320007,Irvine
31CL,heliport,Presbyterian Intercommunity Hospital Whittier Heliport,33.971497,-118.049622,Whittier
32CA,small_airport,Stone Airstrip,36.331538,-119.825177,Lemoore
32CL,small_airport,Bob's Flying Service Inc Airport,38.83319854736328,-121.7180023,Knights Landing
32CN,heliport,Pacific Bell-2300 Imperial Hwy Heliport,33.93048,-118.38239,El Segundo
33CL,small_airport,Oak Country Ranch Airport,35.56829833984375,-120.7969971,Paso Robles
33CN,heliport,Platform Hillhouse Heliport,34.33110046386719,-119.6039963,Carpinteria
34CL,heliport,Burney Service Center Heliport,40.893609,-121.651354,Burney
34CN,small_airport,Bonanza Hills Airport,37.52349853515625,-120.3980026,Snelling
35CA,heliport,Los Angeles County/USC Medical Center Heliport,34.057766,-118.208096,Los Angeles
35CN,closed,Farnsworth Ranch Airstrip,39.104237,-121.936515,Grimes
36CA,small_airport,Stone Land County Airport,36.131900787353516,-119.9860001,Stratford
36CL,heliport,Tri-City Hospital Heliport,33.185298919677734,-117.2910004,Oceanside
37CA,small_airport,Billy Joe Airport,33.50699996948242,-117.0709991,Temecula
37CL,small_airport,Lyall-Roberts Airport,33.324501,-116.989998,Pauma Valley
37CN,closed,Arnold Ranch Airport,36.914398,-119.786003,Fresno
38CL,small_airport,Riego Flight Strip,38.75410079956055,-121.5630035,Verona
38CN,small_airport,Sanborn Airport,39.10929870605469,-121.8840027,Meridian
39CA,heliport,Sce Palm Springs District Heliport,33.786399841308594,-117.4660034,Cathedral City
39CL,heliport,Castle Heliport,33.787899017333984,-117.2300034,Perris
39CN,heliport,Adventist Health Ukiah Valley Heliport,39.153027,-123.202127,Ukiah
3CA1,heliport,Newport Beach Police Heliport,33.626399993896484,-117.8769989,Newport Beach
3CA2,heliport,Jamboree Center Helistop,33.677799224853516,-117.836998,Irvine
3CA6,heliport,Trizec 5670 Wilshire LLC Heliport,34.061962,-118.352146,Los Angeles
3CA7,small_airport,Metz Airport,36.32830047607422,-121.1869965,Greenfield
3CA8,heliport,Holy Cross Medical Center Heliport,34.280109,-118.461186,Mission Hills
3CA9,small_airport,Clark Ranch Airport,36.36330032348633,-121.3099976,Soledad
3CL0,heliport,UC Davis Medical Center Tower II Heliport,38.554831,-121.455491,Sacramento
3CL1,heliport,Metropolitan Water District Heliport,34.054704,-118.23636,Los Angeles
3CL3,heliport,World Trade Center Heliport,33.777801513671875,-118.1999969,Long Beach
3CL4,heliport,Pasadena Police Benedict Heliport,34.183561,-118.171134,Altadena
3CL5,heliport,Chase Plaza Heliport,34.037200927734375,-118.2580032,Los Angeles
3CL7,heliport,Raleigh Enterprises Heliport,34.036324,-118.443555,Los Angeles
3CL8,heliport,Toyota Helistop,33.856513,-118.31268,Torrance
3CL9,heliport,SCE Northern Division Heliport,34.286414,-119.170676,Ventura
3CN2,heliport,Santa Barbara Cottage Hospital Heliport,34.43,-119.724166,Santa Barbara
3CN4,heliport,Kaiser Permanente Anaheim Medical Center Heliport,33.852,-117.8453,Anaheim
3CN5,heliport,Los Angeles County Sheriffs Dept South LA Heliport,33.92864,-118.299004,Los Angeles
3CN7,small_airport,Alta Mesa Airpark,38.379143,-121.221728,Wilton
3O8,small_airport,Harris Ranch Airport,36.247813,-120.238323,Coalinga
40CA,heliport,City of Industry Civic Financial Center Heliport,34.024539,-117.95929,City of Industry
40CL,heliport,"Joby Aero, Inc Heliport",37.024194,-122.156749,Santa Cruz
40CN,heliport,Loma Linda University Medical Center-Murrieta Heliport,33.614716,-117.169905,Murrieta
41CA,small_airport,Silver Creek Ranch Airport,40.3176,-123.253998,Silver Flat
42CA,heliport,John F Kennedy Memorial Hospital Heliport,33.705854,-116.236761,Indio
42CL,heliport,Costa Mesa Police Department Heliport,33.66310119628906,-117.9039993,Costa Mesa
42CN,small_airport,Peg Field,36.70909881591797,-119.4049988,Reedley
42L,heliport,Naa Long Beach Port Helistop,33.76470184326172,-118.1999969,Long Beach
43CL,small_airport,Dick Dale Skyranch Airport,34.2061,-115.998001,Twentynine Palms
43L,heliport,Van Nuys County Court Heliport,34.18330001831055,-118.447998,Los Angeles
44CN,heliport,UCLA Wilshire Glendon Heliport,34.059059,-118.443818,Los Angeles
44L,heliport,Wilshire Area Heliport,34.047191,-118.342768,Los Angeles
45CL,small_airport,Hell'er High Water Airport,40.141878,-123.399124,Zenia
45CN,small_airport,Hermitage Airport,37.880691,-120.194936,Groveland
46CL,heliport,AT&T Center Heliport,34.039611,-118.261704,Los Angeles
46CN,small_airport,Crystal Airport,34.484781,-117.825898,Llano
47CA,heliport,Mountains Community Hospital Heliport,34.265462,-117.16779,Lake Arrowhead
47CL,heliport,Spears Heliport,34.312935,-118.474331,Sylmar
48CA,heliport,Huntington Beach Service Center Heliport,33.74530029296875,-118,Westminster
48CL,heliport,PG&E Grass Valley Service Center Heliport,39.200334,-121.061343,Grass Valley
49CA,heliport,DCOR Platform Habitat Heliport,34.286619,-119.589343,Carpinteria
49CL,small_airport,El Peco Ranch Airport,36.90549850463867,-120.177002,Madera
49CN,small_airport,Rancho Tehama Airport,40.01599884033203,-122.3899994,Red Bluff
4CA0,heliport,LAPD Hooper Heliport,34.044014,-118.247303,Los Angeles
4CA1,heliport,City National Bank Heliport,34.047704,-118.254116,Los Angeles
4CA2,small_airport,Funny Farm Airport,37.94689941,-121.6470032,Brentwood
4CA3,heliport,Camp Parks Heliport,37.70830154418945,-121.8929977,Pleasanton
4CA4,heliport,St Francis Medical Center Helistop,33.930301666259766,-118.2030029,Lynwood
4CA5,heliport,Children's Hospital of Orange County Heliport,33.781502,-117.865598,Orange
4CA6,heliport,Chevron Refinery Heliport,33.914454,-118.427215,El Segundo
4CA7,small_airport,Johnsen Airport,39.67070007324219,-121.8860016,Chico
4CA9,heliport,Randy Champe-Gary Howe Memorial Heliport,33.970101,-118.277622,Los Angeles
4CL1,heliport,Lyon Heliport,33.613399505615234,-117.5910034,Rancho Santa Margarita
4CL2,heliport,Wolfranch Heliport,33.50279998779297,-117.3050003,Temecula
4CL3,small_airport,Antelope Valley Ranch Airport,39.14605,-122.356716,Williams
4CL4,small_airport,Rabbit Ranch Airport,34.456835,-117.028936,Lucerne Valley
4CL5,heliport,Mercy San Juan Hospital Heliport,38.669114,-121.314348,Carmichael
4CL6,heliport,Pat Coyle Memorial Heliport,33.142172,-117.14553,San Marcos
4CL7,heliport,Inyo County Sheriff Search & Rescue Heliport,37.36579895019531,-118.3679962,Bishop
4CL8,heliport,Hanford Community Medical Center Helistop,36.329739,-119.659609,Hanford
4CL9,heliport,Arrowhead Regional Medical Center Heliport,34.075377,-117.349327,Colton
4CN7,heliport,Children's Hospital of Los Angeles Heliport II,34.097289,-118.288803,Los Angeles
50CA,heliport,St Mary Medical Center Heliport,33.780949,-118.186094,Long Beach
50CL,heliport,L A Co Sheriff Lakewood Heliport,33.85079956,-118.1330032,Lakewood
50CN,heliport,Palmdale Medical Center Heliport,34.582261,-118.145106,Palmdale
51CA,small_airport,Kelly Airport,34.42359924316406,-116.6169968,Lucerne Valley
51CL,small_airport,Vetters Sky Ranch Airport,38.230499267578125,-121.2220001,Galt
52CL,small_airport,Adelanto Airport,34.53749847,-117.4609985,Adelanto
52CN,small_airport,Ponderosa Sky Ranch Airport,40.343903,-121.772611,Paynes Creek
53CA,heliport,Hummingbird Nest Heliport,34.281898498535156,-118.6549988,Simi Valley
53CL,small_airport,Lofty Redwoods Airport,38.85960006713867,-123.5910034,Anchor Bay
53CN,small_airport,Thayer Aviation Airport,39.074902,-121.917999,Grimes
54CL,small_airport,Lake Riverside Estates Airport,33.52090072631836,-116.7969971,Anza
54CN,small_airport,Akin Airport,38.754101,-120.899002,Placerville
55CN,heliport,Sunset-Glendale Heliport,34.07780075073242,-118.2600021,Los Angeles
56CL,small_airport,Morris Ag Air SW Airport,33.591726,-114.605663,Blythe
57CL,small_airport,Boron Airstrip,35.001441,-117.61035,Boron
57CN,small_airport,Van Vleck Airport,38.46910095214844,-121.0749969,Rancho Murieta
58CA,heliport,Jay Stephen Hooper Memorial Heliport,34.054500579833984,-118.2289963,Los Angeles
58CL,small_airport,Borrego Air Ranch Airport,33.1917,-116.276001,Borrego Springs
58CN,heliport,Jackson Lake Heliport,39.462398529052734,-120.5660019,Jackson Lake
59CN,small_airport,James Brothers Airport,38.83489990234375,-121.5299988,Pleasant Grove
59L,heliport,Los Angeles City Hall East Heliport,34.053095,-118.241912,Los Angeles
5CA0,heliport,Dreamworks Helistop Glendale Heliport,34.15829849243164,-118.2860031,Glendale
5CA1,heliport,Chevron - San Ardo Heliport,35.956367,-120.869629,San Ardo
5CA2,heliport,Ord Mountain Heliport,34.67537624,-116.8153498,Barstow
5CA3,heliport,San Rafel Private Heliport,37.94660186767578,-122.4869995,San Rafel
5CA4,small_airport,Ludlow Airport,34.728705,-116.158705,Barstow
5CA7,small_airport,Agro-West Airport,36.334538,-120.247532,Five Points
5CA8,small_airport,Howard Private Airport,38.256536,-120.931845,Ione
5CA9,seaplane_base,Konocti  - Clear Lake Seaplane Base,38.977699,-122.718002,Kelseyville
5CL0,small_airport,Grupe Ranch Airport,37.339615,-119.857463,Mariposa
5CL1,small_airport,Hart Ranch Airport,35.40470123,-120.5250015,Santa Margarita
5CL2,heliport,St Louise Regional Hospital Heliport,37.035800933800004,-121.5719986,Gilroy
5CL3,small_airport,Mapes Ranch Airport,37.667999267578125,-121.1989975,Modesto
5CL4,heliport,Natividad Medical Center Heliport,36.697493,-121.634556,Salinas
5CL5,heliport,KCIN Emergency Heliport,33.684512,-117.854721,Irvine
5CL6,heliport,Edward Roybal Federal Bldg Heliport,34.052882,-118.23923,Los Angeles
5CL7,small_airport,Gene Wash Reservoir Airport,34.308101654052734,-114.1869965,Parker Dam
5CL8,small_airport,Creekside Airport,35.17610168457031,-118.9229965,Arvin
5CL9,small_airport,Table Mountain Field,37.1413,-119.508003,Auberry
5CN4,small_airport,Vosburgh Airfield,34.9225,-119.57118,New Cuyama
5CN5,heliport,Palmaz Ranch Heliport,40.036588,-120.763475,Taylorsville
5Q2,heliport,US Forest Service Chester Heliport,40.28850173949999,-121.2429962,Chester
60CA,heliport,Q Area Heliport,38.044898986816406,-122.0070038,Concord
60CL,small_airport,California Highway Patrol Academy Airport,38.594499,-121.568188,West Sacramento
60CN,heliport,San Gorgonio Memorial Hospital Heliport,33.930759,-116.942874,Banning
60L,heliport,Los Angeles Fire Department Station 108 Heliport,34.126769,-118.406496,Beverly Hills
61CA,small_airport,Bauer Airport,34.17470169067383,-116.0670013,Twentynine Palms
61CL,small_airport,Johnson Brothers Airport,32.672743,-115.561896,Calexico
61CN,heliport,California Highway Patrol Headquarters Helipad,38.598106,-121.488231,Sacramento
61L,heliport,Los Angeles Fire Department Station Number 109 Heliport,34.130764,-118.490504,Los Angeles
62CA,heliport,Bank of America Data Center Heliport,34.053668,-118.253183,Los Angeles
62CL,small_airport,Flying Pear Ranch Airport,35.407172,-118.501072,Caliente
62CN,heliport,Trw Manhattan Beach Heliport,33.89699935913086,-118.3830032,Manhattan Beach
63CA,small_airport,Desert Air Sky Ranch Airport,33.48109817504883,-115.8740005,North Shore
63CL,small_airport,G3 Ranch Airport,38.71659851074219,-122.1389999,Capay
63CN,small_airport,Meadowlark Field,37.66130065917969,-121.6940002,Livermore
64CA,heliport,Tahoe Forest Hospital Heliport,39.324124,-120.200281,Truckee
64CL,balloonport,Goodyear Blimp Base Airport,33.855333,-118.276234,Gardena
65CA,heliport,SCE San Joaquin Heliport,36.18299,-119.333578,Tulare
65CL,small_airport,Al Divine Airport,36.514400482177734,-119.7639999,Caruthers
65CN,small_airport,Bottimore Ranch Airport,38.303434,-121.250868,Galt
66CA,small_airport,Rancho San Simeon Airport,35.60770034790039,-121.1100006,Cambria
66CN,heliport,Northrop Palos Verdes Heliport,33.76060104370117,-118.3880005,Palos Verdes
67CA,small_airport,Chapman Farms Airport,37.072491,-120.376215,Chowchilla
67CL,small_airport,Davis Airport,39.20100021362305,-122.0490036,Colusa
67CN,heliport,El Dorado Irrigation District Heliport,38.76449,-120.54829,Pollock Pines
68CA,small_airport,Lake California Air Park,40.36109924316406,-122.2160034,Cottonwood
68CN,small_airport,Porter Ranch Airport,36.02321,-118.096418,Inyokern
69CA,heliport,Victor Valley Global Medical Center Heliport,34.52776,-117.292743,Victorville
69CL,small_airport,Medlock Field,38.615501403808594,-121.7470016,Davis
6CA0,heliport,DoubleTree by Hilton Hotel Los Angeles Downtown Heliport,34.050686,-118.242663,Los Angeles
6CA1,small_airport,Triple R Ranch Airport,41.742698669433594,-121.8779984,Macdoel
6CA2,heliport,SCE Rosemead Heliport,34.050056,-118.081087,Rosemead
6CA3,heliport,Catalina Air-Sea Terminal Heliport,33.74919891,-118.2750015,San Pedro
6CA4,heliport,East Valley Sheriff's Station Heliport,34.24694,-118.835612,Thousand Oaks
6CA5,small_airport,Valley Vista Airport,34.33720016479492,-116.5800018,Yucca Valley
6CA6,small_airport,Eagle Ridge Ranch Airport,38.327701568603516,-120.4769974,Railroad Flat
6CA8,small_airport,Depue Airport,34.856232,-117.137303,Barstow
6CA9,heliport,UCLA Emergency Medicine Department Heliport,34.064998626699996,-118.4430008,Los Angeles
6CL2,heliport,White Pine Heliport,41.330501556396484,-120.0970001,Eagleville
6CL3,heliport,William Shells County Heliport,34.38029861450195,-118.8690033,Fillmore
6CL4,small_airport,Manzanita Airport,37.457828,-119.741921,Mariposa
6CL5,heliport,Majlar Heliport,34.40755,-119.16907,Ojai
6CL7,heliport,Orange Co Sheriffs Forensics Lab Helistop,33.74750137,-117.8769989,Santa Ana
6CL8,small_airport,Harley Airport,37.950801849365234,-121.2429962,Stockton
6CN5,heliport,Los Altos Heliport,34.055566,-117.992526,City of Industry
6CN6,heliport,Kaiser Permanente South Sacramento Heliport,38.469856,-121.420743,Sacramento
6Q0,heliport,Columbia Heliport,38.03459930419922,-120.4120026,Columbia
70CA,heliport,The Wilshire Thayer Heliport,34.062597,-118.432328,Los Angeles
70CL,small_airport,Amargosa Airport,36.295799255371094,-116.4260025,Death Valley Junction
71CA,heliport,Fresh Pond Heliport,38.76020050048828,-120.5360031,Pollock Pines
71CL,small_airport,Gunnersfield Ranch Airport,39.352699279785156,-122.0940018,Delevan
72CA,heliport,Quincy Helitack Base Heliport,39.98320007324219,-120.9509964,Quincy
72CL,small_airport,Iron Mountain Pumping Plant Airport,34.13420104980469,-115.1190033,Desert Center
73CA,small_airport,Bear Valley Airport,38.457706,-120.041991,Bear Valley
73CL,small_airport,Julian Hinds Pump Plant Airstrip,33.698066,-115.638185,Hayfield
74L,heliport,Malibu Administrative Center Heliport,34.037484,-118.689364,Malibu
75CA,heliport,Civic Center Heliport,33.677799224853516,-118,Huntington Beach
76CA,heliport,Bald Mountain Heliport,38.139856,-120.094662,Long Barn
76CN,heliport,El Centro Regional Medical Center Heliport,32.779887,-115.568652,El Centro
77CA,small_airport,Daulton Airport,37.12080001831055,-119.987999,Madera
77CL,small_airport,Baker & Hall Airport,36.71770095825195,-119.137001,Dunlap
78CA,heliport,Broadcom Corporation Heliport,33.65980148,-117.7669983,Irvine
79CA,heliport,Providence St Mary Medical Center Heliport,34.543209,-117.264528,Apple Valley
79CL,small_airport,Milhous Ranch Airport,39.32490158081055,-121.0759964,North San Juan
7CA1,small_airport,Abraham Ranch Airport,34.41469955444336,-116.6230011,Lucerne Valley
7CA2,small_airport,Paradise Lakes Airport,35.176700592041016,-118.927002,Bakersfield
7CA3,heliport,Mercy Medical Center Heliport,40.572242,-122.396637,Redding
7CA4,heliport,Desert Regional Medical Center Heliport,33.838461,-116.543899,Palm Springs
7CA5,heliport,Balch Camp Heliport,36.90629959106445,-119.1289978,Balch Camp
7CA7,heliport,Brian Chuchua Jeep Heliport,33.86109924316406,-117.8820038,Placentia
7CA8,heliport,Eisenhower Medical Center Heliport,33.7641,-116.4049,Rancho Mirage
7CA9,heliport,River Meadow Farm Heliport,38.46189880371094,-122.4150009,Rutherford
7CL1,heliport,Children's Hospital Oakland Heliport,37.836169,-122.266741,Oakland
7CL2,heliport,Rogers Helicopters Inc Heliport,36.82379913330078,-119.6679993,Clovis
7CL4,heliport,Pickel Meadows Expeditionary Airfield Heliport,38.354765,-119.520972,Bridgeport
7CL9,small_airport,Perryman Airport,38.696463,-120.732858,Placerville
7L1,heliport,Carson Sheriff Station Heliport,33.83420181274414,-118.262001,Carson
7L5,heliport,L A County Sheriff's Department Heliport,34.00419998168945,-117.9369965,City of Industry
80CA,small_airport,Bacchi Valley Industries Airport,38.817133,-120.922541,Lotus
80CL,heliport,Blythe Service Center Heliport,33.604879,-114.602305,Blythe
80CN,heliport,US Border Patrol Campo Heliport,32.716072,-116.450054,Pine Valley
80L,heliport,Los Angeles County Fire Station 123 Heliport,34.38486,-118.41451,Santa Clarita
81CL,heliport,Sandhill Heliport,37.92129898071289,-122.1959991,Orinda
